id;report_by_enc_id;reported_against_enc_id;report_date;report_data;report_status
1;2ab7274c-f5eb-4570-86e2-a3bf3109563f;a8e0a7f4-e4af-4c34-8305-527e57ac6971;2025-02-24T00:51:25;ah repentant worth;COMPLETED
2;5e8f2f07-024d-44f0-b548-0068ee5cc3a8;7479e424-a596-48e1-8ef8-319bbc04f81d;2025-02-24T06:16:00;inspection devise than;UNDER_PROCESS
3;a9d0c216-b020-465e-aea2-d2ebef1bf4b2;4eb70bc9-2974-4aaa-b2ef-90a7876dceff;2025-02-24T13:51:42;entire;UNDER_PROCESS
4;7b9d9117-84d5-4ea9-8547-be8d2791b86d;7a751bc8-8784-4e89-8c83-c182c9e537e6;2025-02-24T15:57:10;minion reassuringly boo;COMPLETED
5;8330ade7-5a97-4e09-b305-72b67e4f7056;6882bcbc-2f74-4261-a86e-8f5926eb7e09;2025-02-24T05:51:59;yum saw;COMPLETED
6;f88520ef-f472-44d7-adbe-473184512099;a2b82ac1-3224-4de0-af98-9fa83f39d6e4;2025-02-24T12:15:49;bidet;COMPLETED
7;0d7eff04-c104-45a6-9bdb-a6dd4477cf46;9da0a751-5e4c-4393-9ffe-b217a8441e19;2025-02-24T13:06:16;incidentally;NEW
8;c6155cbe-8435-41a8-81f1-7056e49169b1;77add4ca-4909-4a97-9db9-cac8c7678e0d;2025-02-24T17:34:41;um;UNDER_PROCESS
9;95b6a5b5-774c-4ac6-89ae-d966c71605bb;f492038f-62a8-4b5f-810e-e8d0aa60d8cd;2025-02-24T14:48:54;challenge redound vein;UNDER_PROCESS
10;df54f349-e8b4-4aa9-99c8-53482f75d2eb;b85c2aac-da9b-4106-ac9f-0c786593c4c5;2025-02-23T22:20:22;obsess;COMPLETED
