id;create_date;valid_until;status;is_negotiable;budget;created_by_enc_id;taken_by_enc_id;enc_id
1;2025-02-23T21:37:13;2025-02-24T04:54:14;PENDING;true;9845.31;e6326d61-1f5d-48d9-84b9-54b513349dca;406d834b-8f64-4b9d-853b-dd22836bfa35;0bdec34f-793b-4ac9-a0ab-764af8571fed
2;2025-02-24T15:48:12;2025-02-24T18:12:04;PENDING;false;5965.09;4d99b34e-b3e6-49fc-af4d-a6944c777656;2209eea1-3e06-4aa0-91b6-7d5af7d28816;9b31c0e4-82f1-43a4-8172-d3104de1ce3c
3;2025-02-24T16:05:08;2025-02-23T23:08:21;CANCELLED;false;6479.82;ea935032-3088-42e7-ae63-f9f1558d3e23;9d886580-b4f8-4172-bfc6-75878ec4e6f6;c30eb9aa-797a-4fde-859e-ba97715d6e98
4;2025-02-23T22:07:51;2025-02-24T13:25:14;COMPLETED;true;3227.48;bbd66c3b-8b21-4d25-811b-90139333899b;a97f8a0c-2d2c-4d13-bc84-b1f7e0afb974;a3e1c457-fa25-418c-86ea-20a9b0f093fe
5;2025-02-24T15:23:35;2025-02-24T19:03:25;CANCELLED;false;904.21;6f5068c7-35ba-4e9d-80c5-27256f090427;a7fe4702-510c-4be9-9d84-65f996506030;5ffe6551-348c-44e6-8a9c-0e871728871b
6;2025-02-24T09:02:03;2025-02-24T13:21:41;CANCELLED;false;7705.58;266bed29-58f4-4868-bf9f-cfbc89ed5b8e;386a2e2f-db1b-4fcf-9db3-de3bbc8bbabf;4cc587b2-7040-4721-825f-a0c53ff71502
7;2025-02-24T17:59:27;2025-02-24T14:44:55;REJECTED;false;24435.22;06286b7a-df28-4fb5-85ec-50d67a9c1472;c10e4aab-5c44-481b-ab3e-3f3a2698e6d4;2da43808-10ec-4f4d-8bb3-e62c51af5c7e
8;2025-02-24T18:15:12;2025-02-24T17:05:01;COMPLETED;true;1578.88;4cf6335d-3b69-4e96-9dc0-299fa600e615;e4b05fae-e4c7-4fd3-836f-603ffa75a8f7;72beca41-0685-4e77-8291-270c0b5acefa
9;2025-02-24T04:59:14;2025-02-23T23:41:28;COMPLETED;true;12110.49;9b6ac87d-5cf7-481d-a46a-a29f1ababf76;207a5eb0-7921-4b6d-9aa4-6ea6e9560666;39f2f432-de65-4534-806e-0ff86873b379
10;2025-02-24T07:25:09;2025-02-24T07:00:00;CANCELLED;true;7371.29;2e0b7118-05f5-40fd-b071-b7ee07e3e46e;34524dad-bb55-4b97-a8bf-5ae72040992a;61f9de24-b88e-4b6d-b719-e776d9ace2ed
