id;from_date;to_date;is_active;subscribed_user_enc_id
1;2025-02-24T16:26:40;2025-02-23T23:39:15;true;146bc5b2-01bb-4017-80ae-8492fb3cad52
2;2025-02-24T04:16:18;2025-02-24T11:41:20;false;02607f69-4c81-4732-a5aa-e3353e47cca5
3;2025-02-24T02:52:22;2025-02-24T14:25:04;true;7ef65828-b64e-47f3-911a-2bfa4679bbdf
4;2025-02-24T18:42:23;2025-02-23T21:23:15;true;bbc3bd4e-ac70-4c57-9f1b-9f69659ff323
5;2025-02-23T20:27:27;2025-02-24T06:33:46;false;00059679-fb23-4f0a-a28b-0e8da71c54ee
6;2025-02-23T22:52:55;2025-02-24T18:43:09;false;c9dfdaab-7a34-477f-befd-4d5772724ebb
7;2025-02-24T12:59:58;2025-02-24T07:27:15;true;8bd2a1b8-a3e4-4a96-bd75-ae76d2d5f915
8;2025-02-24T14:27:44;2025-02-24T01:21:07;true;142cff76-87ae-4e9b-8cdd-5a962201be0c
9;2025-02-24T10:05:28;2025-02-24T17:04:04;false;18bf264a-8956-4775-a3b9-227111a32f91
10;2025-02-24T17:18:43;2025-02-24T04:35:08;true;bd3396b2-898a-4609-90cd-abe02eb27150
